"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","152","57","30","87","42","23","65","","","","","","",""
"0～1日","58","5","24","29","12","17","29","38.2","8.8","80.0","33.3","28.6","73.9","44.6"
"2～3日","32","13","3","16","11","5","16","21.1","22.8","10.0","18.4","26.2","21.7","24.6"
"4～7日","26","16","3","19","6","1","7","17.1","28.1","10.0","21.8","14.3","4.3","10.8"
"8～14日","7","4","","4","3","","3","4.6","7.0","","4.6","7.1","","4.6"
"15～30日","21","13","","13","8","","8","13.8","22.8","","14.9","19.0","","12.3"
"31～90日","7","5","","5","2","","2","4.6","8.8","","5.7","4.8","","3.1"
"91～180日","","","","","","","","","","","","","",""
"181～365日","1","1","","1","","","","0.7","1.8","","1.1","","",""
"366日～","","","","","","","","","","","","","",""
