"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","224","108","45","153","34","37","71","","","","","","",""
"0～1日","103","17","41","58","11","34","45","47.7","15.7","91.1","37.9","32.4","91.9","63.4"
"2～3日","54","39","4","43","8","3","11","25.0","36.1","8.9","28.1","23.5","8.1","15.5"
"4～7日","26","18","","18","8","","8","12.0","16.7","","11.8","23.5","","11.3"
"8～14日","21","18","","18","3","","3","9.7","16.7","","11.8","8.8","","4.2"
"15～30日","12","8","","8","4","","4","5.6","7.4","","5.2","11.8","","5.6"
"31～90日","4","4","","4","","","","1.9","3.7","","2.6","","",""
"91～180日","2","2","","2","","","","0.9","1.9","","1.3","","",""
"181～365日","1","1","","1","","","","0.5","0.9","","0.7","","",""
"366日～","1","1","","1","","","","0.5","0.9","","0.7","","",""
