"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","560","192","145","337","121","102","223","","","","","","",""
"0～1日","278","28","121","149","35","94","129","49.6","14.6","83.4","44.2","28.9","92.2","57.8"
"2～3日","131","57","20","77","48","6","54","23.4","29.7","13.8","22.8","39.7","5.9","24.2"
"4～7日","55","39","","39","15","1","16","9.8","20.3","","11.6","12.4","1.0","7.2"
"8～14日","33","22","3","25","7","1","8","5.9","11.5","2.1","7.4","5.8","1.0","3.6"
"15～30日","27","22","","22","5","","5","4.8","11.5","","6.5","4.1","","2.2"
"31～90日","31","20","1","21","10","","10","5.5","10.4","0.7","6.2","8.3","","4.5"
"91～180日","2","2","","2","","","","0.4","1.0","","0.6","","",""
"181～365日","3","2","","2","1","","1","0.5","1.0","","0.6","0.8","","0.4"
"366日～","","","","","","","","","","","","","",""
