"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","550","254","107","361","81","108","189","","","","","","",""
"0～1日","241","38","91","129","21","91","112","43.8","15.0","85.0","35.7","25.9","84.3","59.3"
"2～3日","121","65","11","76","32","13","45","22.0","25.6","10.3","21.1","39.5","12.0","23.8"
"4～7日","72","55","1","56","13","3","16","13.1","21.7","0.9","15.5","16.0","2.8","8.5"
"8～14日","32","24","1","25","6","1","7","5.8","9.4","0.9","6.9","7.4","0.9","3.7"
"15～30日","35","31","1","32","3","","3","6.4","12.2","0.9","8.9","3.7","","1.6"
"31～90日","41","33","2","35","6","","6","7.5","13.0","1.9","9.7","7.4","","3.2"
"91～180日","4","4","","4","","","","0.7","1.6","","1.1","","",""
"181～365日","2","2","","2","","","","0.4","0.8","","0.6","","",""
"366日～","2","2","","2","","","","0.4","0.8","","0.6","","",""
