"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","432","160","88","248","106","78","184","","","","","","",""
"0～1日","199","30","76","106","25","68","93","46.1","18.8","86.4","42.7","23.6","87.2","50.5"
"2～3日","98","50","6","56","33","9","42","22.7","31.3","6.8","22.6","31.1","11.5","22.8"
"4～7日","61","30","4","34","26","1","27","14.1","18.8","4.5","13.7","24.5","1.3","14.7"
"8～14日","27","20","","20","7","","7","6.3","12.5","","8.1","6.6","","3.8"
"15～30日","26","17","1","18","8","","8","6.0","10.6","1.1","7.3","7.5","","4.3"
"31～90日","18","11","1","12","6","","6","4.2","6.9","1.1","4.8","5.7","","3.3"
"91～180日","2","1","","1","1","","1","0.5","0.6","","0.4","0.9","","0.5"
"181～365日","1","1","","1","","","","0.2","0.6","","0.4","","",""
"366日～","","","","","","","","","","","","","",""
