"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","282","117","67","184","52","46","98","","","","","","",""
"0～1日","121","26","53","79","12","30","42","43.2","22.2","79.1","42.9","23.1","65.2","42.9"
"2～3日","63","31","8","39","13","11","24","22.5","26.5","11.9","21.2","25.0","23.9","24.5"
"4～7日","31","16","3","19","10","2","12","11.1","13.7","4.5","10.3","19.2","4.3","12.2"
"8～14日","23","13","3","16","7","","7","8.2","11.1","4.5","8.7","13.5","0.0","7.1"
"15～30日","26","20","","20","6","","6","9.3","17.1","","10.9","11.5","0.0","6.1"
"31～90日","11","7","","7","4","","4","3.9","6.0","","3.8","7.7","0.0","4.1"
"91～180日","5","3","","3","","2","2","1.8","2.6","","1.6","","4.3","2.0"
"181～365日","1","","","","","1","1","0.4","","","","","2.2","1.0"
"366日～","1","1","","1","","","","0.4","0.9","0.0","0.5","","",""
