"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","537","260","104","364","91","82","173","","","","","","",""
"0～1日","196","35","75","110","15","71","86","36.5","13.5","72.1","30.2","16.5","86.6","49.7"
"2～3日","135","66","23","89","37","9","46","25.1","25.4","22.1","24.5","40.7","11.0","26.6"
"4～7日","74","50","3","53","20","1","21","13.8","19.2","2.9","14.6","22.0","1.2","12.1"
"8～14日","49","41","1","42","7","","7","9.1","15.8","1.0","11.5","7.7","","4.0"
"15～30日","46","36","2","38","7","1","8","8.6","13.8","1.9","10.4","7.7","1.2","4.6"
"31～90日","31","27","","27","4","","4","5.8","10.4","","7.4","4.4","","2.3"
"91～180日","4","3","","3","1","","1","0.7","1.2","","0.8","1.1","","0.6"
"181～365日","2","2","","2","","","","0.4","0.8","","0.5","","",""
"366日～","","","","","","","","","","","","","",""
