"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","624","286","139","425","111","88","199","","","","","","",""
"0～1日","276","55","114","169","31","76","107","44.2","19.2","82.0","39.8","27.9","86.4","53.8"
"2～3日","125","64","19","83","32","10","42","20.0","22.4","13.7","19.5","28.8","11.4","21.1"
"4～7日","90","62","3","65","23","2","25","14.4","21.7","2.2","15.3","20.7","2.3","12.6"
"8～14日","51","41","2","43","8","","8","8.2","14.3","1.4","10.1","7.2","","4.0"
"15～30日","50","38","1","39","11","","11","8.0","13.3","0.7","9.2","9.9","","5.5"
"31～90日","28","22","","22","6","","6","4.5","7.7","","5.2","5.4","","3.0"
"91～180日","","","","","","","","","","","","","",""
"181～365日","4","4","","4","","","","0.6","1.4","","0.9","","",""
"366日～","","","","","","","","","","","","","",""
