"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","163","59","32","91","30","42","72","","","","","","",""
"0～1日","81","10","28","38","8","35","43","49.7","16.9","87.5","41.8","26.7","83.3","59.7"
"2～3日","36","14","3","17","13","6","19","22.1","23.7","9.4","18.7","43.3","14.3","26.4"
"4～7日","12","7","","7","5","","5","7.4","11.9","","7.7","16.7","","6.9"
"8～14日","9","7","","7","2","","2","5.5","11.9","","7.7","6.7","","2.8"
"15～30日","14","13","","13","1","","1","8.6","22.0","","14.3","3.3","","1.4"
"31～90日","8","7","","7","1","","1","4.9","11.9","","7.7","3.3","","1.4"
"91～180日","3","1","1","2","","1","1","1.8","1.7","3.1","2.2","","2.4","1.4"
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
