"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","115","50","22","72","27","16","43","","","","","","",""
"0～1日","44","7","17","24","7","13","20","38.6","14","77.3","33.3","25.9","81.3","46.5"
"2～3日","23","12","2","14","8","1","9","20.2","24","9.1","19.4","29.6","6.3","20.9"
"4～7日","27","16","2","18","7","2","9","23.7","32","9.1","25","25.9","12.5","20.9"
"8～14日","9","5","1","6","3","","3","7.9","10.0","4.5","8.3","11.1","","7"
"15～30日","7","6","","6","1","","1","6.1","12.0","","8.3","3.7","","2.3"
"31～90日","4","3","","3","1","","1","3.5","6.0","","4.2","3.7","","2.3"
"91～180日","1","1","","1","","","","0.9","2.0","","1.4","","",""
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
