"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","257","137","44","181","40","36","76","","","","","","",""
"0～1日","109","32","40","72","10","27","37","42.4","23.4","90.9","39.8","25.0","75.0","48.7"
"2～3日","55","29","3","32","15","8","23","21.4","21.2","6.8","17.7","37.5","22.2","30.3"
"4～7日","34","26","1","27","6","1","7","13.2","19.0","2.3","14.9","15.0","2.8","9.2"
"8～14日","29","25","","25","4","","4","11.3","18.2","","13.8","10.0","","5.3"
"15～30日","16","13","","13","3","","3","6.2","9.5","","7.2","7.5","","3.9"
"31～90日","12","10","","10","2","","2","4.7","7.3","","5.5","5.0","","2.6"
"91～180日","1","1","","1","","","","0.4","0.7","","0.6","","",""
"181～365日","","","","","","","","","","","","","",""
"366日～","1","1","","1","","","","0.4","0.7","","0.6","","",""
