"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","398","161","83","244","82","72","154","","","","","","",""
"0～1日","199","39","73","112","22","65","87","50.9","24.2","88.0","45.9","26.8","90.3","56.5"
"2～3日","99","50","9","59","34","6","40","25.3","31.1","10.8","24.2","41.5","8.3","26.0"
"4～7日","39","23","1","24","14","1","15","10.0","14.3","1.2","9.8","17.1","1.4","9.7"
"8～14日","21","15","","15","6","","6","5.4","9.3","","6.1","7.3","","3.9"
"15～30日","20","15","","15","5","","5","5.1","9.3","","6.1","6.1","","3.2"
"31～90日","13","12","","12","1","","1","3.3","7.5","","4.9","1.2","","0.6"
"91～180日","3","3","","3","","","","0.8","1.9","","1.2","","",""
"181～365日","1","1","","1","","","","0.3","0.6","","0.4","","",""
"366日～","3","3","","3","","","","0.8","1.9","","1.2","","",""
