"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","27","11","5","16","5","6","11","","","","","","",""
"0～1日","16","5","4","9","4","3","7","64.0","45.5","80.0","56.3","80.0","50.0","63.6"
"2～3日","8","3","1","4","1","3","4","32.0","27.3","20.0","25.0","20.0","50.0","36.4"
"4～7日","1","1","","1","","","","4.0","9.1","","6.3","","",""
"8～14日","","","","","","","","","","","","","",""
"15～30日","2","2","","2","","","","8.0","18.2","","12.5","","",""
"31～90日","","","","","","","","","","","","","",""
"91～180日","","","","","","","","","","","","","",""
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
