"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","115","50","22","72","27","16","43"
"15歳未満","","","","","","",""
"15～19歳","1","","","","","1","1"
"20～24歳","","","","","","",""
"25～29歳","4","1","","1","1","2","3"
"30～34歳","3","1","1","2","1","","1"
"35～39歳","4","2","1","3","1","","1"
"40～44歳","3","1","1","2","1","","1"
"45～49歳","6","2","2","4","1","1","2"
"50～54歳","10","6","","6","2","2","4"
"55～59歳","3","2","1","3","","",""
"60～64歳","10","6","2","8","1","1","2"
"65～69歳","10","6","2","8","1","1","2"
"70～74歳","12","6","2","8","3","1","4"
"75～79歳","14","6","4","10","3","1","4"
"80～84歳","16","4","4","8","5","3","8"
"85歳以上","19","7","2","9","7","3","10"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","44","21","8","29","8","7","15"
"（再掲）／65歳以上","71","29","14","43","19","9","28"
"（再掲）／15歳以上","115","50","22","72","27","16","43"
