"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","224","108","45","153","34","37","71"
"15歳未満","1","","","","","1","1"
"15～19歳","","","","","","",""
"20～24歳","","","","","","",""
"25～29歳","4","1","2","3","1","","1"
"30～34歳","1","","","","","1","1"
"35～39歳","4","3","","3","1","","1"
"40～44歳","5","3","1","4","","1","1"
"45～49歳","8","5","","5","2","1","3"
"50～54歳","12","6","3","9","2","1","3"
"55～59歳","12","5","3","8","2","2","4"
"60～64歳","22","17","4","21","1","","1"
"65～69歳","31","23","6","29","","2","2"
"70～74歳","29","16","2","18","4","7","11"
"75～79歳","32","13","8","21","5","6","11"
"80～84歳","34","12","8","20","7","7","14"
"85歳以上","29","4","8","12","9","8","17"
"（再掲）／0～14歳","1","","","","","1","1"
"（再掲）／15～64歳","68","40","13","53","9","6","15"
"（再掲）／65歳以上","155","68","32","100","25","30","55"
"（再掲）／15歳以上","223","108","45","153","34","36","70"
