"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","475","173","130","303","98","74","172"
"15歳未満","","","","","","",""
"15～19歳","2","","2","2","","",""
"20～24歳","3","1","2","3","","",""
"25～29歳","8","2","3","5","2","1","3"
"30～34歳","2","2","","2","","",""
"35～39歳","15","7","5","12","1","2","3"
"40～44歳","11","8","","8","","3","3"
"45～49歳","21","11","7","18","1","2","3"
"50～54歳","25","9","8","17","5","3","8"
"55～59歳","31","22","8","30","","1","1"
"60～64歳","28","16","7","23","4","1","5"
"65～69歳","58","35","12","47","6","5","11"
"70～74歳","50","20","13","33","7","10","17"
"75～79歳","56","11","17","28","17","11","28"
"80～84歳","46","9","16","25","14","7","21"
"85歳以上","119","20","30","50","41","28","69"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","146","78","42","120","13","13","26"
"（再掲）／65歳以上","329","95","88","183","85","61","146"
"（再掲）／15歳以上","475","173","130","303","98","74","172"
