"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","208","92","49","141","39","28","67"
"15歳未満","","","","","","",""
"15～19歳","","","","","","",""
"20～24歳","1","","1","1","","",""
"25～29歳","2","2","","2","","",""
"30～34歳","1","","","","1","","1"
"35～39歳","6","3","2","5","","1","1"
"40～44歳","2","1","1","2","","",""
"45～49歳","7","2","1","3","1","3","4"
"50～54歳","10","5","4","9","1","","1"
"55～59歳","8","5","2","7","1","","1"
"60～64歳","6","4","1","5","","1","1"
"65～69歳","30","20","5","25","5","","5"
"70～74歳","30","19","5","24","4","2","6"
"75～79歳","29","16","7","23","4","2","6"
"80～84歳","41","8","13","21","12","8","20"
"85歳以上","35","7","7","14","10","11","21"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","43","22","12","34","4","5","9"
"（再掲）／65歳以上","165","70","37","107","35","23","58"
"（再掲）／15歳以上","208","92","49","141","39","28","67"
