"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","257","137","44","181","40","36","76"
"15歳未満","","","","","","",""
"15～19歳","1","","1","1","","",""
"20～24歳","7","3","1","4","1","2","3"
"25～29歳","3","2","1","3","","",""
"30～34歳","4","2","","2","1","1","2"
"35～39歳","6","4","","4","1","1","2"
"40～44歳","12","7","4","11","1","","1"
"45～49歳","13","9","1","10","3","","3"
"50～54歳","14","7","6","13","","1","1"
"55～59歳","14","10","","10","3","1","4"
"60～64歳","18","10","3","13","3","2","5"
"65～69歳","27","20","4","24","","3","3"
"70～74歳","29","24","4","28","1","","1"
"75～79歳","29","15","3","18","8","3","11"
"80～84歳","34","17","4","21","7","6","13"
"85歳以上","46","7","12","19","11","16","27"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","92","54","17","71","13","8","21"
"（再掲）／65歳以上","165","83","27","110","27","28","55"
"（再掲）／15歳以上","257","137","44","181","40","36","76"
