"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","624","286","139","425","111","88","199"
"15歳未満","","","","","","",""
"15～19歳","2","","1","1","","1","1"
"20～24歳","1","","","","","1","1"
"25～29歳","8","3","3","6","1","1","2"
"30～34歳","5","4","1","5","","",""
"35～39歳","13","7","2","9","2","2","4"
"40～44歳","14","6","4","10","1","3","4"
"45～49歳","16","9","1","10","3","3","6"
"50～54歳","31","17","8","25","4","2","6"
"55～59歳","46","23","13","36","4","6","10"
"60～64歳","49","25","13","38","5","6","11"
"65～69歳","76","49","8","57","13","6","19"
"70～74歳","91","43","19","62","15","14","29"
"75～79歳","94","50","19","69","17","8","25"
"80～84歳","96","29","26","55","23","18","41"
"85歳以上","82","21","21","42","23","17","40"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","185","94","46","140","20","25","45"
"（再掲）／65歳以上","439","192","93","285","91","63","154"
"（再掲）／15歳以上","624","286","139","425","111","88","199"
