(cid:17136)(cid:17214)(cid:17137)(cid:6371),407,85,161,246,35,126,161
(cid:17138)(cid:17214)(cid:17139)(cid:6371),110,64,6,70,32,8,40
(cid:17140)(cid:17214)(cid:17143)(cid:6371),74,53,5,58,13,3,16
(cid:17144)(cid:17214)(cid:17137)(cid:17140)(cid:6371),43,36,0,36,6,1,7
(cid:17137)(cid:17141)(cid:17214)(cid:17139)(cid:17136)(cid:6371),38,35,1,36,2,0,2
(cid:17139)(cid:17137)(cid:17214)(cid:17145)(cid:17136)(cid:6371),22,18,2,20,2,0,2
(cid:17145)(cid:17137)(cid:17214)(cid:17137)(cid:17144)(cid:17136)(cid:6371),3,1,1,2,0,1,1
(cid:17137)(cid:17144)(cid:17137)(cid:17214)(cid:17139)(cid:17142)(cid:17141)(cid:6371),0,0,0,0,0,0,0
(cid:17139)(cid:17142)(cid:17142)(cid:6371)(cid:17214),1,1,0,1,0,0,0
