(cid:17136)(cid:17214)(cid:17137)(cid:6371),278,45,118,163,42,73,115
(cid:17138)(cid:17214)(cid:17139)(cid:6371),68,36,4,40,24,4,28
(cid:17140)(cid:17214)(cid:17143)(cid:6371),43,28,2,30,13,0,13
(cid:17144)(cid:17214)(cid:17137)(cid:17140)(cid:6371),26,17,2,19,7,0,7
(cid:17137)(cid:17141)(cid:17214)(cid:17139)(cid:17136)(cid:6371),25,22,1,23,0,2,2
(cid:17139)(cid:17137)(cid:17214)(cid:17145)(cid:17136)(cid:6371),10,5,2,7,1,2,3
(cid:17145)(cid:17137)(cid:17214)(cid:17137)(cid:17144)(cid:17136)(cid:6371),3,3,0,3,0,0,0
(cid:17137)(cid:17144)(cid:17137)(cid:17214)(cid:17139)(cid:17142)(cid:17141)(cid:6371),1,1,0,1,0,0,0
(cid:17139)(cid:17142)(cid:17142)(cid:6371)(cid:17214),0,0,0,0,0,0,0
