"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","475","173","130","303","98","74","172","","","","","","",""
"0～1日","240","37","106","143","32","65","97","50.5","21.4","81.5","47.2","32.7","87.8","56.4"
"2～3日","109","53","20","73","28","8","36","22.9","30.6","15.4","24.1","28.6","10.8","20.9"
"4～7日","54","31","3","34","20","","20","11.4","17.9","2.3","11.2","20.4","","11.6"
"8～14日","26","19","","19","7","","7","5.5","11.0","","6.3","7.1","","4.1"
"15～30日","26","19","","19","7","","7","5.5","11.0","","6.3","7.1","","4.1"
"31～90日","17","12","1","13","3","1","4","3.6","6.9","0.8","4.3","3.1","1.4","2.3"
"91～180日","3","2","","2","1","","1","0.6","1.2","","0.7","1.0","","0.6"
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
