"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","243","120","43","163","48","32","80","","","","","","",""
"0～1日","91","24","32","56","9","26","35","37.4","20.0","74.4","34.4","18.8","81.3","43.8"
"2～3日","60","26","8","34","20","6","26","24.7","21.7","18.6","20.9","41.7","18.8","32.5"
"4～7日","34","20","3","23","11","","11","14.0","16.7","7.0","14.1","22.9","","13.8"
"8～14日","18","16","","16","2","","2","7.4","13.3","","9.8","4.2","","2.5"
"15～30日","28","25","","25","3","","3","11.5","20.8","","15.3","6.3","","3.8"
"31～90日","8","6","","6","2","","2","3.3","5.0","","3.7","4.2","","2.5"
"91～180日","3","2","","2","1","","1","1.2","1.7","","1.2","2.1","","1.3"
"181～365日","1","1","","1","","","","0.4","0.8","","0.6","","",""
"366日～","","","","","","","","","","","","","",""
