"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","460","187","113","300","86","74","160","","","","","","",""
"0～1日","219","35","93","128","28","63","91","47.6","18.7","82.3","42.7","32.6","85.1","56.9"
"2～3日","91","41","14","55","26","10","36","19.8","21.9","12.4","18.3","30.2","13.5","22.5"
"4～7日","50","33","2","35","14","1","15","10.9","17.6","1.8","11.7","16.3","1.4","9.4"
"8～14日","34","26","2","28","6","","6","7.4","13.9","1.8","9.3","7.0","","3.8"
"15～30日","38","29","1","30","8","","8","8.3","15.5","0.9","10.0","9.3","","5.0"
"31～90日","25","20","1","21","4","","4","5.4","10.7","0.9","7.0","4.7","","2.5"
"91～180日","3","3","","3","","","","0.7","1.6","","1.0","","",""
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
