"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","69","23","14","37","22","10","32","","","","","","",""
"0～1日","28","5","9","14","6","8","14","41.2","21.7","64.3","37.8","27.3","80.0","43.8"
"2～3日","14","6","2","8","5","1","6","20.6","26.1","14.3","21.6","22.7","10.0","18.8"
"4～7日","12","4","2","6","5","1","6","17.6","17.4","14.3","16.2","22.7","10.0","18.8"
"8～14日","4","2","","2","2","","2","5.9","8.7","","5.4","9.1","","6.3"
"15～30日","5","2","","2","3","","3","7.4","8.7","","5.4","13.6","","9.4"
"31～90日","5","3","1","4","1","","1","7.4","13","7.1","10.8","4.5","","3.1"
"91～180日","","","","","","","","","","","","","",""
"181～365日","1","1","","1","","","","1.5","4.3","","2.7","","",""
"366日～","","","","","","","","","","","","","",""
