"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","233","103","55","158","37","38","75","","","","","","",""
"0～1日","106","15","46","61","12","33","45","46.5","14.6","83.6","38.6","32.4","86.8","60.0"
"2～3日","46","23","6","29","12","5","17","20.2","22.3","10.9","18.4","32.4","13.2","22.7"
"4～7日","32","23","2","25","7","","7","14.0","22.3","3.6","15.8","18.9","","9.3"
"8～14日","17","13","1","14","3","","3","7.5","12.6","1.8","8.9","8.1","","4.0"
"15～30日","14","13","","13","1","","1","6.1","12.6","","8.2","2.7","","1.3"
"31～90日","13","11","","11","2","","2","5.7","10.7","","7.0","5.4","","2.7"
"91～180日","5","5","","5","","","","2.2","4.9","","3.2","","",""
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
