"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","208","92","49","141","39","28","67","","","","","","",""
"0～1日","94","16","39","55","11","28","39","45.2","17.4","79.6","39.0","28.2","100.0","58.2"
"2～3日","47","25","7","32","15","","15","22.6","27.2","14.3","22.7","38.5","","22.4"
"4～7日","30","23","1","24","6","","6","14.4","25.0","2.0","17.0","15.4","","9.0"
"8～14日","24","17","2","19","5","","5","11.5","18.5","4.1","13.5","12.8","","7.5"
"15～30日","8","8","","8","","","","3.8","8.7","","5.7","","",""
"31～90日","3","2","","2","1","","1","1.4","2.2","","1.4","2.6","","1.5"
"91～180日","2","1","","1","1","","1","1.0","1.1","","0.7","2.6","","1.5"
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
