"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","290","147","37","184","70","36","106","","","","","","",""
"0～1日","95","21","30","51","13","31","44","32.8","14.3","81.1","27.7","18.6","86.1","41.5"
"2～3日","79","44","5","49","26","4","30","27.2","29.9","13.5","26.6","37.1","11.1","28.3"
"4～7日","45","28","1","29","15","1","16","15.5","19.0","2.7","15.8","21.4","2.8","15.1"
"8～14日","22","16","1","17","5","","5","7.6","10.9","2.7","9.2","7.1","","4.7"
"15～30日","25","18","","18","7","","7","8.6","12.2","","9.8","10.0","","6.6"
"31～90日","22","19","","19","3","","3","7.6","12.9","","10.3","4.3","","2.8"
"91～180日","1","1","","1","","","","0.3","0.7","","0.5","","",""
"181～365日","","","","","","","","","","","","","",""
"366日～","1","","","","1","","1","0.3","","","","1.4","","0.9"
