"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","603","288","132","420","88","95","183","","","","","","",""
"0～1日","280","54","110","164","30","86","116","46.4","18.8","83.3","39.0","34.1","90.5","63.4"
"2～3日","128","76","15","91","30","7","37","21.2","26.4","11.4","21.7","34.1","7.4","20.2"
"4～7日","72","55","3","58","13","1","14","11.9","19.1","2.3","13.8","14.8","1.1","7.7"
"8～14日","41","31","3","34","6","1","7","6.8","10.8","2.3","8.1","6.8","1.1","3.8"
"15～30日","48","44","1","45","3","","3","8.0","15.3","0.8","10.7","3.4","","1.6"
"31～90日","29","26","","26","3","","3","4.8","9.0","","6.2","3.4","","1.6"
"91～180日","5","2","","2","3","","3","0.8","0.7","","0.5","3.4","","1.6"
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
