"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","27","11","5","16","5","6","11"
"15歳未満","","","","","","",""
"15～19歳","","","","","","",""
"20～24歳","","","","","","",""
"25～29歳","2","2","","2","","",""
"30～34歳","1","1","","1","","",""
"35～39歳","","","","","","",""
"40～44歳","1","1","","1","","",""
"45～49歳","2","1","","1","","1","1"
"50～54歳","1","","1","1","","",""
"55～59歳","","","","","","",""
"60～64歳","2","1","1","2","","",""
"65～69歳","1","","","","","1","1"
"70～74歳","2","","1","1","","1","1"
"75～79歳","5","4","1","5","","",""
"80～84歳","7","1","1","2","3","2","5"
"85歳以上","3","","","","2","1","3"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","9","6","2","8","0","1","1"
"（再掲）／65歳以上","18","5","3","8","5","5","10"
"（再掲）／15歳以上","27","11","5","16","5","6","11"
