"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","163","59","32","91","30","42","72"
"15歳未満","","","","","","",""
"15～19歳","","","","","","",""
"20～24歳","2","1","","1","","1","1"
"25～29歳","1","1","","1","","",""
"30～34歳","2","","1","1","","1","1"
"35～39歳","5","3","1","4","","1","1"
"40～44歳","2","","","","","2","2"
"45～49歳","8","3","2","5","2","1","3"
"50～54歳","5","2","","2","1","2","3"
"55～59歳","9","3","2","5","1","3","4"
"60～64歳","15","8","2","10","2","3","5"
"65～69歳","17","6","2","8","2","7","9"
"70～74歳","18","8","2","10","2","6","8"
"75～79歳","23","9","5","14","4","5","9"
"80～84歳","29","11","6","17","9","3","12"
"85歳以上","27","4","9","13","7","7","14"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","49","21","8","29","6","14","20"
"（再掲）／65歳以上","114","38","24","62","24","28","52"
"（再掲）／15歳以上","163","59","32","91","30","42","72"
