"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","432","160","88","248","106","78","184"
"15歳未満","1","","1","1","","",""
"15～19歳","","","","","","",""
"20～24歳","10","5","2","7","3","","3"
"25～29歳","1","1","","1","","",""
"30～34歳","6","3","1","4","2","","2"
"35～39歳","2","","","","1","1","2"
"40～44歳","12","3","5","8","1","3","4"
"45～49歳","11","5","","5","2","4","6"
"50～54歳","25","15","3","18","5","2","7"
"55～59歳","29","15","5","20","3","6","9"
"60～64歳","26","13","11","24","1","1","2"
"65～69歳","35","23","6","29","5","1","6"
"70～74歳","50","27","11","38","8","4","12"
"75～79歳","56","14","6","20","26","10","36"
"80～84歳","76","20","12","32","26","18","44"
"85歳以上","92","16","25","41","23","28","51"
"（再掲）／0～14歳","1","","1","1","","",""
"（再掲）／15～64歳","122","60","27","87","18","17","35"
"（再掲）／65歳以上","309","100","60","160","88","61","149"
"（再掲）／15歳以上","431","160","87","247","106","78","184"
