"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","603","288","132","420","88","95","183"
"15歳未満","1","","1","1","","",""
"15～19歳","1","","1","1","","",""
"20～24歳","5","4","","4","","1","1"
"25～29歳","9","3","1","4","2","3","5"
"30～34歳","2","1","1","2","","",""
"35～39歳","6","4","1","5","","1","1"
"40～44歳","13","5","6","11","","2","2"
"45～49歳","21","12","6","18","1","2","3"
"50～54歳","27","17","4","21","1","5","6"
"55～59歳","32","20","7","27","2","3","5"
"60～64歳","49","34","8","42","2","5","7"
"65～69歳","105","67","21","88","9","8","17"
"70～74歳","74","42","14","56","9","9","18"
"75～79歳","78","36","16","52","14","12","26"
"80～84歳","96","27","27","54","23","19","42"
"85歳以上","84","16","18","34","25","25","50"
"（再掲）／0～14歳","1","","1","1","","",""
"（再掲）／15～64歳","165","100","35","135","8","22","30"
"（再掲）／65歳以上","437","188","96","284","80","73","153"
"（再掲）／15歳以上","602","288","131","419","88","95","183"
