"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","560","192","145","337","121","102","223"
"15歳未満","1","","1","1","","",""
"15～19歳","4","","2","2","","2","2"
"20～24歳","9","2","2","4","5","","5"
"25～29歳","7","3","3","6","","1","1"
"30～34歳","6","2","2","4","2","","2"
"35～39歳","9","4","3","7","1","1","2"
"40～44歳","13","8","4","12","1","","1"
"45～49歳","21","11","4","15","5","1","6"
"50～54歳","25","13","5","18","4","3","7"
"55～59歳","43","17","12","29","6","8","14"
"60～64歳","38","25","5","30","8","","8"
"65～69歳","57","28","17","45","3","9","12"
"70～74歳","59","29","12","41","8","10","18"
"75～79歳","57","15","14","29","13","15","28"
"80～84歳","83","14","24","38","27","18","45"
"85歳以上","128","21","35","56","38","34","72"
"（再掲）／0～14歳","1","","1","1","","",""
"（再掲）／15～64歳","175","85","42","127","32","16","48"
"（再掲）／65歳以上","384","107","102","209","89","86","175"
"（再掲）／15歳以上","559","192","144","336","121","102","223"
