"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","460","187","113","300","86","74","160"
"15歳未満","2","","2","2","","",""
"15～19歳","1","","1","1","","",""
"20～24歳","2","1","1","2","","",""
"25～29歳","3","2","","2","","1","1"
"30～34歳","4","","2","2","1","1","2"
"35～39歳","8","2","3","5","","3","3"
"40～44歳","4","2","1","3","1","","1"
"45～49歳","10","4","2","6","1","3","4"
"50～54歳","20","7","7","14","5","1","6"
"55～59歳","32","17","8","25","2","5","7"
"60～64歳","43","26","9","35","5","3","8"
"65～69歳","65","41","11","52","7","6","13"
"70～74歳","71","38","14","52","9","10","19"
"75～79歳","68","27","17","44","13","11","24"
"80～84歳","55","14","12","26","18","11","29"
"85歳以上","72","6","23","29","24","19","43"
"（再掲）／0～14歳","2","","2","2","","",""
"（再掲）／15～64歳","127","61","34","95","15","17","32"
"（再掲）／65歳以上","331","126","77","203","71","57","128"
"（再掲）／15歳以上","458","187","111","298","86","74","160"
