"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","290","147","37","184","70","36","106"
"15歳未満","","","","","","",""
"15～19歳","1","","","","","1","1"
"20～24歳","4","1","2","3","1","","1"
"25～29歳","8","3","2","5","2","1","3"
"30～34歳","6","4","1","5","1","","1"
"35～39歳","2","2","","2","","",""
"40～44歳","12","7","2","9","2","1","3"
"45～49歳","5","2","2","4","","1","1"
"50～54歳","13","10","1","11","2","","2"
"55～59歳","18","12","2","14","4","","4"
"60～64歳","20","16","","16","1","3","4"
"65～69歳","38","29","3","32","5","1","6"
"70～74歳","36","23","3","26","6","4","10"
"75～79歳","39","17","6","23","12","4","16"
"80～84歳","41","13","10","23","14","4","18"
"85歳以上","47","8","3","11","20","16","36"
"（再掲）／0～14歳","0","","","","","",""
"（再掲）／15～64歳","89","57","12","69","13","7","20"
"（再掲）／65歳以上","201","90","25","115","57","29","86"
"（再掲）／15歳以上","290","147","37","184","70","36","106"
